quiz,submission_date,submission_time,submission_id,coursera_user_id,Q01,Q01_corr,Q02,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05v1,Q05v2,Q05v3,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09,Q09_corr,Q10,Q10_corr,Q11,Q11_corr,Q12v1,Q12v2,Q12v3,Q12_corr,Q13,Q13_corr,Q14v1,Q14v2,Q14v3,Q14_corr,Q15v1,Q15v2,Q15v3,Q15v4,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W02Q01,01-Sep-13,9:53:00 AM,7175,2875728,1,1,1,1,1,1,1,1,9997,9997,1,1,1,9997,1,1,1,1,9997,1,1,1,1,1,1,1,9997,4,9997,0,1,1,9997,1,9997,1,1,9997,9997,9997,1,1,1,3,0,1,1,1,1,1,1
W02Q01,01-Sep-13,9:57:00 AM,7180,3515885,1,1,1,1,1,1,1,1,9997,9997,4,0,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,9997,5,9997,0,2,0,1,9997,9997,1,4,9997,9997,9997,0,1,1,1,1,1,1,1,1,5,0
W02Q01,01-Sep-13,10:15:00 AM,7192,4100987,1,1,1,1,1,1,1,1,9997,9997,1,1,1,9997,1,1,1,9997,1,1,1,1,1,1,2,0,9997,4,9997,0,5,0,9997,9997,1,1,1,9997,9997,9997,1,1,1,1,1,3,0,9999,0,1,1
W02Q01,01-Sep-13,10:38:00 AM,7215,2625690,1,1,1,1,1,1,1,1,9997,1,9997,1,1,9997,1,4,0,1,9997,1,1,1,1,1,1,1,3,9997,9997,0,5,0,9997,9997,1,1,1,9997,9997,9997,1,1,1,1,1,1,1,9999,0,1,1
W02Q01,01-Sep-13,11:16:00 AM,7254,4224622,1,1,1,1,1,1,1,1,9997,9997,1,1,1,9997,1,5,0,1,9997,1,1,1,1,1,1,1,9997,9997,2,0,1,1,9997,9997,1,1,1,9997,9997,9997,1,1,1,5,0,1,1,9999,0,1,1
W02Q01,01-Sep-13,11:20:00 AM,7258,4094087,1,1,1,1,4,0,1,1,9997,9997,1,1,9997,2,0,1,1,9997,1,1,4,0,1,1,1,1,9997,9997,1,1,3,0,9997,9997,1,1,1,9997,9997,9997,1,1,1,1,1,1,1,9999,0,1,1
W02Q01,01-Sep-13,11:27:00 AM,7273,2029348,1,1,1,1,4,0,1,1,9997,1,9997,1,9997,1,1,1,1,1,9997,1,1,1,1,1,2,0,5,9997,9997,0,5,0,9997,9997,1,1,9997,1,9997,9997,1,1,1,5,0,1,1,9999,0,1,1
W02Q01,01-Sep-13,11:34:00 AM,7283,3244213,1,1,1,1,1,1,1,1,9997,1,9997,1,9997,1,1,4,0,9997,1,1,1,1,1,1,2,0,9997,9997,2,0,3,0,9997,1,9997,1,9997,9997,1,9997,1,1,1,1,1,1,1,1,1,1,1
W02Q01,01-Sep-13,12:26:00 PM,7340,3164809,5,0,3,0,4,0,1,1,5,9997,9997,0,9997,1,1,1,1,9997,1,1,1,1,4,0,1,1,9997,9997,4,0,1,1,9997,9997,1,1,9997,9997,1,9997,1,1,1,1,1,1,1,9999,0,1,1
W02Q01,01-Sep-13,1:00:00 PM,7391,3014464,1,1,5,0,5,0,1,1,9997,9997,1,1,9997,4,0,1,1,9997,1,1,1,1,2,0,1,1,9997,9997,5,0,5,0,9997,4,9997,0,9997,4,9997,9997,0,4,0,3,0,1,1,9999,0,3,0
W02Q01,01-Sep-13,1:01:00 PM,7396,3652852,5,0,3,0,3,0,1,1,1,9997,9997,1,1,9997,1,1,1,9997,1,1,4,0,3,0,2,0,1,9997,9997,1,2,0,1,9997,9997,1,9997,9997,1,9997,1,1,1,4,0,1,1,9999,0,1,1
W02Q01,01-Sep-13,1:40:00 PM,7437,1710976,1,1,1,1,4,0,1,1,1,9997,9997,1,1,9997,1,4,0,1,9997,1,1,1,1,1,5,0,9997,4,9997,0,1,1,9997,9997,1,1,9997,9997,1,9997,1,1,1,1,1,1,1,1,1,4,0
W02Q01,01-Sep-13,1:57:00 PM,7464,547508,1,1,3,0,1,1,1,1,1,9997,9997,1,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,9997,2,9997,0,5,0,9997,9997,1,1,9997,1,9997,9997,1,1,1,1,1,1,1,9999,0,3,0
W02Q01,01-Sep-13,2:16:00 PM,7498,3941068,1,1,1,1,3,0,1,1,5,9997,9997,0,1,9997,1,1,1,9997,1,1,2,0,1,1,1,1,9997,9997,1,1,3,0,1,9997,9997,1,9997,1,9997,9997,1,2,0,2,0,1,1,2,0,4,0
W02Q01,01-Sep-13,2:50:00 PM,7557,4154047,1,1,3,0,4,0,1,1,5,9997,9997,0,9997,1,1,1,1,9997,1,1,1,1,4,0,2,0,9997,9997,1,1,1,1,9997,9997,1,1,1,9997,9997,9997,1,2,0,1,1,1,1,9999,0,1,1
W02Q01,01-Sep-13,2:52:00 PM,7566,972008,1,1,1,1,4,0,1,1,9997,9997,1,1,9997,1,1,1,1,9997,1,1,1,1,1,1,1,1,9997,1,9997,1,1,1,1,9997,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,1,1,1,1
W02Q01,01-Sep-13,3:55:00 PM,7686,3669811,1,1,1,1,4,0,1,1,1,9997,9997,1,1,9997,1,1,1,1,9997,1,1,1,1,1,5,0,4,9997,9997,0,1,1,9997,9997,1,1,9997,9997,9997,5,0,1,1,1,1,3,0,9999,0,1,1
W02Q01,01-Sep-13,4:03:00 PM,7701,1943289,1,1,1,1,1,1,1,1,1,9997,9997,1,9997,1,1,5,0,9997,1,1,4,0,1,1,1,1,9997,1,9997,1,1,1,1,9997,9997,1,1,9997,9997,9997,1,1,1,1,1,1,1,1,1,5,0
W02Q01,01-Sep-13,4:28:00 PM,7747,3098349,1,1,1,1,4,0,1,1,9997,1,9997,1,9997,5,0,1,1,1,9997,1,1,1,1,1,1,1,9997,5,9997,0,5,0,4,9997,9997,0,1,9997,9997,9997,1,1,1,1,1,1,1,1,1,5,0
