quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02v1,Q02v2,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05v1,Q05v2,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11v1,Q11v2,Q11_corr,Q12v1,Q12v2,Q12_corr,Q13v1,Q13v2,Q13_corr,Q14v1,Q14v2,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W06Q01,23444,30-Sep-13,1:10:00 PM,2766756,1,1,2,9997,0,2,0,5,0,1,9997,1,9997,1,1,2,0,9997,1,1,9997,1,1,9997,5,0,1,9997,1,1,9997,1,1,9997,1,9997,1,1,1,1,4,0,1,1,2,0,2,0,1,1
W06Q01,23446,30-Sep-13,1:29:00 PM,656596,1,1,2,9997,0,1,1,5,0,1,9997,1,5,9997,0,1,1,9997,1,1,1,9997,1,1,9997,1,9997,3,0,4,9997,0,9997,1,1,2,9997,0,5,0,2,0,1,1,1,1,1,1,4,0
W06Q01,23452,30-Sep-13,1:54:00 PM,4077910,1,1,1,9997,1,2,0,4,0,3,9997,0,9997,4,0,3,0,9997,5,0,9997,5,0,3,9997,0,1,9997,1,1,9997,1,5,9997,0,9997,2,0,3,0,2,0,5,0,1,1,2,0,5,0
W06Q01,23454,30-Sep-13,1:57:00 PM,3665302,1,1,1,9997,1,1,1,1,1,1,9997,1,1,9997,1,1,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,1,1,1,1,1,1,2,0,1,1,1,1
W06Q01,23458,30-Sep-13,2:42:00 PM,3175991,1,1,1,9997,1,1,1,1,1,9997,2,0,1,9997,1,1,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,23462,30-Sep-13,2:55:00 PM,465645,1,1,9997,1,1,1,1,5,0,5,9997,0,5,9997,0,1,1,9997,1,1,1,9997,1,5,9997,0,1,9997,1,1,9997,1,9997,2,0,9997,1,1,1,1,5,0,1,1,1,1,1,1,2,0
W06Q01,23471,30-Sep-13,4:07:00 PM,4197510,1,1,9997,1,1,1,1,1,1,9997,1,1,1,9997,1,1,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,2,0
W06Q01,23479,30-Sep-13,4:37:00 PM,2906538,1,1,9997,3,0,1,1,1,1,3,9997,0,9997,1,1,1,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,9997,3,0,1,9997,1,1,1,2,0,1,1,2,0,2,0,2,0
W06Q01,23481,30-Sep-13,4:45:00 PM,4180347,1,1,1,9997,1,1,1,1,1,1,9997,1,9997,1,1,2,0,1,9997,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,4,0,1,1,1,1,5,0,1,1,4,0
W06Q01,23493,30-Sep-13,6:12:00 PM,4142590,1,1,9997,1,1,2,0,4,0,9997,1,1,9997,1,1,2,0,2,9997,0,9997,1,1,3,9997,0,2,9997,0,9997,1,1,3,9997,0,4,9997,0,2,0,1,1,5,0,2,0,2,0,1,1
W06Q01,23494,30-Sep-13,6:13:00 PM,4192481,1,1,9997,5,0,1,1,1,1,9997,4,0,1,9997,1,1,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,3,0,1,1,1,1,1,1,1,1,2,0
W06Q01,23495,30-Sep-13,6:16:00 PM,4369923,1,1,9997,4,0,1,1,1,1,9997,2,0,9997,1,1,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,2,0
W06Q01,23497,30-Sep-13,6:22:00 PM,2307809,1,1,1,9997,1,1,1,1,1,1,9997,1,9997,1,1,1,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1
