quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05,Q05_corr,Q06,Q06_corr,Q07,Q07_corr,Q08,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10,Q10_corr,Q11,Q11_corr,Q12,Q12_corr,Q13,Q13_corr,Q14,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W01Q01,695,22-Aug-13,11:32:00 AM,2837822,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,4,0,1,1,4,0
W01Q01,697,22-Aug-13,11:37:00 AM,1702755,1,1,1,1,1,1,5,0,1,1,3,0,1,1,1,1,9997,4,0,5,0,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,2,0,1,1
W01Q01,706,22-Aug-13,12:19:00 PM,4189068,1,1,2,0,1,1,2,1,4,0,1,1,1,1,1,1,2,9997,0,5,0,4,0,4,0,1,1,2,0,1,1,2,0,4,0,4,0,2,0,2,0
W01Q01,712,22-Aug-13,12:43:00 PM,2573322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,1,1
W01Q01,717,22-Aug-13,1:19:00 PM,2981236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,4,0,1,1,2,0,1,1,3,0,3,0,2,0,2,0,4,0
W01Q01,718,22-Aug-13,1:25:00 PM,3986137,1,1,1,1,5,0,5,0,1,1,1,1,1,1,3,0,1,9997,1,5,0,2,0,4,0,1,1,2,0,1,1,2,0,1,1,4,0,2,0,5,0
W01Q01,722,22-Aug-13,1:34:00 PM,3898678,1,1,1,1,5,0,2,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,4,0,2,0
W01Q01,742,22-Aug-13,3:24:00 PM,4036782,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9997,0,5,0,2,0,4,0,1,1,1,1,1,1,2,0,5,0,1,1,5,0,1,1
W01Q01,758,22-Aug-13,4:39:00 PM,2402438,9999,0,1,1,1,1,2,1,1,1,1,1,2,0,1,1,9997,5,0,5,0,1,1,4,0,4,0,1,1,1,1,1,1,1,1,5,0,1,1,5,0
W01Q01,763,22-Aug-13,5:05:00 PM,2955426,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,5,0,5,0,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,5,0
W01Q01,767,22-Aug-13,5:19:00 PM,4346505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1
W01Q01,770,22-Aug-13,5:25:00 PM,1066330,1,1,1,1,1,1,2,1,1,1,3,0,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,2,0
W01Q01,774,22-Aug-13,6:06:00 PM,3395766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,5,0,2,0,4,0,1,1,3,0,1,1,1,1,2,0,2,0,3,0,4,0
W01Q01,787,22-Aug-13,7:05:00 PM,2650098,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9997,2,0,2,0,1,1,5,0,1,1,1,1,1,1,1,1,4,0,4,0,4,0,4,0
W01Q01,804,22-Aug-13,8:33:00 PM,4418981,2,0,5,0,3,0,5,0,2,0,2,0,5,0,3,0,9997,3,0,5,0,2,0,9999,0,5,0,4,0,1,1,1,1,4,0,3,0,4,0,1,1
W01Q01,818,22-Aug-13,9:58:00 PM,4433965,1,1,1,1,5,0,2,1,1,1,1,1,1,1,1,1,1,9997,1,2,0,1,1,4,0,1,1,2,0,1,1,2,0,5,0,4,0,2,0,1,1
W01Q01,820,22-Aug-13,10:25:00 PM,4445920,1,1,1,1,5,0,2,1,1,1,5,0,3,0,1,1,3,9997,0,2,0,2,0,3,0,5,0,1,1,5,0,3,0,2,0,2,0,3,0,2,0
W01Q01,827,22-Aug-13,11:05:00 PM,2481947,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,9997,1,3,0,1,1,2,0,1,1,4,0,4,0,2,0,3,0,2,0,1,1,2,0
W01Q01,830,22-Aug-13,11:17:00 PM,2708721,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,2,0,4,0,2,0
W01Q01,831,22-Aug-13,11:20:00 PM,2445791,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,9997,1,3,0,1,1,1,1,1,1,2,0,1,1,2,0,4,0,2,0,1,1,5,0
W01Q01,837,23-Aug-13,12:24:00 AM,4409684,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,9997,1,5,0,4,0,1,1,1,1,4,0,1,1,2,0,4,0,4,0,3,0,4,0
W01Q01,842,23-Aug-13,1:14:00 AM,4286345,1,1,1,1,1,1,5,0,1,1,3,0,1,1,1,1,9997,4,0,4,0,1,1,1,1,1,1,1,1,3,0,1,1,9999,0,1,1,1,1,1,1
W01Q01,847,23-Aug-13,1:54:00 AM,4192469,1,1,1,1,1,1,2,1,1,1,1,1,5,0,1,1,1,9997,1,3,0,1,1,1,1,1,1,1,1,1,1,2,0,3,0,5,0,3,0,2,0
W01Q01,855,23-Aug-13,2:22:00 AM,4446966,1,1,1,1,1,1,2,1,1,1,1,1,4,0,1,1,9997,1,1,1,1,1,1,4,0,5,0,1,1,1,1,2,0,5,0,4,0,2,0,4,0
W01Q01,858,23-Aug-13,2:41:00 AM,4447267,2,0,1,1,5,0,2,1,5,0,4,0,2,0,5,0,9997,2,0,1,1,5,0,3,0,4,0,4,0,2,0,4,0,2,0,2,0,1,1,4,0
W01Q01,862,23-Aug-13,3:17:00 AM,1230482,1,1,1,1,5,0,4,0,1,1,1,1,1,1,1,1,9997,5,0,5,0,4,0,1,1,5,0,2,0,1,1,1,1,1,1,2,0,2,0,5,0
W01Q01,864,23-Aug-13,3:54:00 AM,682122,4,0,4,0,4,0,2,1,2,0,1,1,1,1,5,0,5,9997,0,1,1,5,0,5,0,5,0,1,1,9999,0,5,0,2,0,1,1,2,0,4,0
W01Q01,876,23-Aug-13,5:53:00 AM,3196974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,3,0,1,1,1,1,1,1,1,1,1,1,2,0,1,1,4,0,9999,0,2,0
W01Q01,885,23-Aug-13,7:43:00 AM,4390345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W01Q01,886,23-Aug-13,7:44:00 AM,3068166,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,9997,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,2,0,4,0
W01Q01,897,23-Aug-13,9:49:00 AM,2995237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,3,0,1,1,1,1,1,1,2,0,1,1,1,1,1,1,4,0,2,0,1,1
