quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01v1,Q01v2,Q01_corr,Q02,Q02_corr,Q03v1,Q03v2,Q03v3,Q03_corr,Q04v1,Q04v2,Q04_corr,Q05v1,Q05v2,Q05_corr,Q06v1,Q06v2,Q06v3,Q06_corr,Q07v1,Q07v2,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11,Q11_corr,Q12,Q12_corr,Q13,Q13_corr,Q14,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W05Q01,20416,22-Sep-13,8:53:00 PM,2955426,9997,1,1,1,1,9997,9997,1,1,9997,1,1,4,9997,0,9997,9997,1,1,9999,9999,0,1,9997,1,9997,1,1,9997,1,1,1,1,3,0,#NULL!,0,3,0,1,1,1,1,1,1,1,1,3,0,1,1
W05Q01,20423,22-Sep-13,9:01:00 PM,3244213,9997,1,1,1,1,1,9997,9997,1,9997,1,1,9997,1,1,9997,9997,1,1,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,5,0,3,0,#NULL!,0,5,0,2,0,1,1,1,1,1,1,1,1,1,1
W05Q01,20428,22-Sep-13,9:04:00 PM,1128130,9997,1,1,5,0,9997,9997,1,1,9997,1,1,9997,1,1,9997,1,9997,1,9999,9999,0,9997,1,1,9997,1,1,9997,1,1,1,1,3,0,#NULL!,0,5,0,1,1,1,1,1,1,1,1,1,1,1,1
W05Q01,20459,22-Sep-13,9:29:00 PM,3273666,1,9997,1,1,1,1,9997,9997,1,1,9997,1,1,9997,1,1,9997,9997,1,9999,9999,0,1,9997,1,9997,1,1,9997,1,1,5,0,3,0,#NULL!,0,4,0,2,0,3,0,1,1,1,1,1,1,1,1
W05Q01,20709,23-Sep-13,1:32:00 AM,4181143,9997,1,1,1,1,1,9997,9997,1,9997,1,1,1,9997,1,9997,9997,1,1,9999,9999,0,1,9997,1,9997,1,1,1,9997,1,1,1,3,0,#NULL!,0,5,0,1,1,1,1,1,1,1,1,1,1,1,1
W05Q01,20959,23-Sep-13,4:36:00 AM,2513830,1,9997,1,1,1,9997,6,9997,0,9997,1,1,1,9997,1,1,9997,9997,1,9999,9999,0,9997,1,1,9997,1,1,9997,1,1,1,1,4,0,#NULL!,0,3,0,5,0,3,0,1,1,1,1,1,1,5,0
W05Q01,20984,23-Sep-13,4:49:00 AM,3898959,1,9997,1,1,1,9997,1,9997,1,9997,1,1,9997,1,1,9997,9997,1,1,9999,9999,0,1,9997,1,1,9997,1,1,9997,1,1,1,3,0,#NULL!,0,5,0,1,1,4,0,3,0,5,0,1,1,1,1
W05Q01,21013,23-Sep-13,5:37:00 AM,2134177,1,9997,1,4,0,9997,6,9997,0,9997,1,1,1,9997,1,1,9997,9997,1,9999,9999,0,1,9997,1,1,9997,1,4,9997,0,1,1,3,0,#NULL!,0,5,0,3,0,4,0,4,0,1,1,5,0,4,0
W05Q01,21019,23-Sep-13,6:08:00 AM,4415074,9997,3,0,5,0,9997,5,9997,0,9997,1,1,9997,1,1,5,9997,9997,0,9999,9999,0,5,9997,0,9997,4,0,1,9997,1,5,0,5,0,#NULL!,0,4,0,5,0,1,1,1,1,1,1,4,0,2,0
W05Q01,21022,23-Sep-13,6:55:00 AM,3582894,1,9997,1,1,1,9997,1,9997,1,1,9997,1,5,9997,0,1,9997,9997,1,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,1,1,3,0,#NULL!,0,3,0,1,1,1,1,4,0,1,1,1,1,1,1
W05Q01,21024,23-Sep-13,7:11:00 AM,3844515,9997,1,1,1,1,1,9997,9997,1,9997,1,1,7,9997,0,9997,9997,1,1,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,5,0,3,0,#NULL!,0,3,0,2,0,1,1,1,1,1,1,1,1,1,1
W05Q01,21028,23-Sep-13,7:26:00 AM,4452813,1,9997,1,1,1,5,9997,9997,0,9997,2,0,5,9997,0,9997,9997,1,1,9999,9999,0,2,9997,0,3,9997,0,9997,1,1,3,0,1,1,#NULL!,0,3,0,4,0,5,0,4,0,2,0,2,0,1,1
W05Q01,21042,23-Sep-13,8:02:00 AM,4061349,1,9997,1,1,1,9997,9997,1,1,9997,1,1,9997,1,1,1,9997,9997,1,9999,9999,0,9997,1,1,1,9997,1,9997,1,1,1,1,3,0,#NULL!,0,5,0,1,1,1,1,1,1,1,1,1,1,1,1
W05Q01,21046,23-Sep-13,8:23:00 AM,3652852,1,9997,1,5,0,9997,6,9997,0,1,9997,1,1,9997,1,9997,9997,1,1,9999,9999,0,9997,1,1,9997,1,1,4,9997,0,1,1,2,0,#NULL!,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1
W05Q01,21048,23-Sep-13,8:35:00 AM,2659407,1,9997,1,1,1,1,9997,9997,1,9997,1,1,1,9997,1,9997,9997,1,1,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,1,1,3,0,#NULL!,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1
W05Q01,21049,23-Sep-13,8:44:00 AM,4094087,9997,1,1,1,1,9997,9997,1,1,9997,1,1,9997,1,1,9997,1,9997,1,9999,9999,0,5,9997,0,9997,1,1,9997,1,1,1,1,2,0,#NULL!,0,1,1,1,1,1,1,4,0,1,1,4,0,1,1
W05Q01,21051,23-Sep-13,8:49:00 AM,4534686,1,9997,1,2,0,9997,6,9997,0,9997,1,1,1,9997,1,5,9997,9997,0,9999,9999,0,5,9997,0,1,9997,1,9997,1,1,5,0,1,1,#NULL!,0,3,0,1,1,1,1,4,0,1,1,1,1,2,0
W05Q01,21054,23-Sep-13,9:08:00 AM,58127,9997,3,0,5,0,1,9997,9997,1,9997,2,0,4,9997,0,3,9997,9997,0,9999,9999,0,9997,4,0,2,9997,0,1,9997,1,2,0,2,0,#NULL!,0,3,0,2,0,3,0,1,1,4,0,1,1,5,0
W05Q01,21060,23-Sep-13,9:28:00 AM,1431919,1,9997,1,1,1,9997,9997,6,0,1,9997,1,1,9997,1,9997,1,9997,1,9999,9999,0,9997,1,1,1,9997,1,1,9997,1,1,1,3,0,#NULL!,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1
